date,open,high,low,volume,sentiment
2021/10/20 11:30,53.87,54.01,53.69,413990,0.5
2021/10/20 14:00,53.8,53.94,53.65,317106,0.5
2021/10/20 15:00,53.71,53.86,53.56,485463,0.5
2021/10/21 10:30,53.97,53.97,52.88,822356,0.5
2021/10/21 11:30,52.91,53.07,52.8,439889,0.5
2021/10/21 14:00,53.03,53.04,52.78,287495,0.5
2021/10/21 15:00,52.87,52.87,52.46,647363,0.5
2021/10/22 10:30,52.6,52.75,51.48,1473543,0.5
2021/10/22 11:30,51.48,52.3,51.46,550821,0.5
2021/10/22 14:00,52.07,52.5,51.98,341804,0.5
2021/10/22 15:00,52.03,52.1,51.58,465610,0.5
2021/10/25 10:30,51.6,51.68,50.17,1464409,0.5
2021/10/25 11:30,50.42,50.49,49.98,743446,0.5
2021/10/25 14:00,50.13,50.14,49.8,706956,0.5
2021/10/25 15:00,50.1,50.3,49.97,482017,0.5
2021/10/26 10:30,50.72,50.72,49.72,1251933,0.5
2021/10/26 11:30,50.06,50.21,49.93,287210,0.5
2021/10/26 14:00,50.18,51.48,50.18,999996,0.5
2021/10/26 15:00,50.63,50.64,50.28,353330,0.5
2021/10/27 10:30,50.42,50.42,48.3,1818357,0.5
2021/10/27 11:30,48.3,48.48,48,1279679,0.5
2021/10/27 14:00,48.16,48.16,47.59,873436,0.5
2021/10/27 15:00,47.7,47.79,47.54,728441,0.5
2021/10/28 10:30,47.5,47.95,46.91,1061066,0.5
2021/10/28 11:30,47.5,48.17,47.5,428897,0.5
2021/10/28 14:00,47.67,47.91,47.5,269397,0.5
2021/10/28 15:00,47.77,48.15,47.51,614577,0.5
2021/10/29 10:30,47.86,48.55,47.35,822598,0.5
2021/10/29 11:30,48.29,48.4,47.9,306600,0.5
2021/10/29 14:00,48.05,48.28,48.05,250355,0.5
2021/10/29 15:00,48.25,48.49,48.2,485437,0.5
2021/11/1 10:30,48.01,48.01,46.2,1457024,0.5
2021/11/1 11:30,47.67,47.8,47.45,398159,0.5
2021/11/1 14:00,47.69,48.18,47.61,416344,0.5
2021/11/1 15:00,47.8,48.19,47.59,461794,0.5
2021/11/2 10:30,47.76,48.67,47.75,1602656,0.5
2021/11/2 11:30,48,48.04,47.5,360229,0.5
2021/11/2 14:00,47.75,47.8,46.63,733248,0.5
2021/11/2 15:00,46.8,47.08,46.7,513239,0.5
2021/11/3 10:30,47.4,47.95,47.18,2266796,0.5
2021/11/3 11:30,47.42,47.51,47,723937,0.5
2021/11/3 14:00,47.06,47.42,47.06,468192,0.5
2021/11/3 15:00,47.29,47.85,47.17,1090177,0.5
2021/11/4 10:30,47.89,47.98,47.04,1392569,0.5
2021/11/4 11:30,47.16,47.74,47.16,652104,0.5
2021/11/4 14:00,47.35,47.6,47.33,381345,0.5
2021/11/4 15:00,47.41,47.64,47.2,749291,0.5
2021/11/5 10:30,47.14,47.78,47.08,1047451,0.5
2021/11/5 11:30,47.58,48.2,47.5,1391410,0.5
2021/11/5 14:00,47.9,47.94,47.59,331760,0.5
2021/11/5 15:00,47.58,47.58,47.29,550411,0.5
2021/11/8 10:30,48.19,48.39,46.1,2087645,0.5
2021/11/8 11:30,46.15,46.32,45.7,785001,0.5
2021/11/8 14:00,45.91,46.31,45.91,422215,0.5
2021/11/8 15:00,46.27,46.27,45.8,630269,0.5
2021/11/9 10:30,45.99,46.49,45.5,1513213,0.5
2021/11/9 11:30,46.31,46.4,46.22,1014737,0.5
2021/11/9 14:00,46.3,46.9,46.3,1253448,0.5
2021/11/9 15:00,46.61,46.72,46.48,639957,0.5
2021/11/10 10:30,46.3,46.94,46.15,1149240,0.5
2021/11/10 11:30,46.4,46.41,45.85,662362,0.5
2021/11/10 14:00,46.08,51.32,46.08,8257195,0.5
2021/11/10 15:00,50,51.21,49.86,3572756,0.5
2021/11/11 10:30,50.42,51.34,49.6,4681502,0.5
2021/11/11 11:30,50.39,50.63,50,976146,0.5
2021/11/11 14:00,50.11,50.31,49.6,1290695,0.5
2021/11/11 15:00,49.77,50.22,49.64,1031204,0.5
2021/11/12 10:30,50,51.15,49.75,1988469,0.5
2021/11/12 11:30,50.74,50.75,50.24,705123,0.5
2021/11/12 14:00,50.45,50.8,50.35,668549,0.5
2021/11/12 15:00,50.7,50.87,50.54,717618,0.5
2021/11/15 10:30,50.67,52.63,50.1,3517608,0.5
2021/11/15 11:30,52.48,54.29,52.44,3590838,0.5
2021/11/15 14:00,54.15,54.15,53.6,1355702,0.5
2021/11/15 15:00,53.99,54.04,53.72,1219127,0.5
2021/11/16 10:30,53.8,54.48,53.3,2122364,0.5
2021/11/16 11:30,53.8,54.3,53.5,1000928,0.5
2021/11/16 14:00,54.14,54.58,53.55,1108021,0.5
2021/11/16 15:00,53.88,54.79,53.8,2073663,0.5
2021/11/17 10:30,53.99,54.58,53.33,1692051,0.5
2021/11/17 11:30,54.19,54.75,54.14,1153728,0.5
2021/11/17 14:00,54.62,54.67,54,806051,0.5
2021/11/17 15:00,54.14,54.28,54,643864,0.5
2021/11/18 10:30,53.8,54.45,53.25,2012804,0.5
2021/11/18 11:30,54.15,54.4,53.65,960112,0.5
2021/11/18 14:00,53.69,53.97,53.1,757345,0.5
2021/11/18 15:00,53.41,53.46,52.83,1125100,0.5
2021/11/19 10:30,56,57.23,54.1,5095564,0.5
2021/11/19 11:30,54.8,55.05,54.5,801287,0.5
2021/11/19 14:00,55.05,55.7,54.98,1065215,0.5
2021/11/19 15:00,55.18,55.35,54.7,1013882,0.5
2021/11/22 10:30,58.7,60.5,56.87,9284799,0.5
2021/11/22 11:30,60.01,60.35,59.72,1861323,0.5
2021/11/22 14:00,59.73,59.9,58.96,1311639,0.5
2021/11/22 15:00,59.05,59.19,58,1875393,0.5
2021/11/23 10:30,57.51,58.03,56.23,3565117,0.5
2021/11/23 11:30,57.22,58.8,57.1,987321,0.5
2021/11/23 14:00,58.78,59.77,58.49,2151043,0.5
